Fielding start,Fielding end,State,Politician,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
4/21/21,7/20/21,Rhode Island,Joe Biden,Registered Voters,1613,0.02,0.59,0.36,0.22
4/21/21,7/20/21,South Carolina,Joe Biden,Registered Voters,7640,0.01,0.46,0.5,-0.04
4/21/21,7/20/21,South Dakota,Joe Biden,Registered Voters,1087,0.03,0.37,0.59,-0.21
4/21/21,7/20/21,Tennessee,Joe Biden,Registered Voters,9533,0.01,0.42,0.55,-0.13
4/21/21,7/20/21,Texas,Joe Biden,Registered Voters,27846,0.01,0.48,0.47,0.01
4/21/21,7/20/21,Utah,Joe Biden,Registered Voters,2643,0.02,0.42,0.54,-0.13
4/21/21,7/20/21,Vermont,Joe Biden,Registered Voters,895,0.03,0.65,0.31,0.34
4/21/21,7/20/21,Virginia,Joe Biden,Registered Voters,11172,0.01,0.55,0.42,0.13
4/21/21,7/20/21,Washington,Joe Biden,Registered Voters,7558,0.01,0.58,0.37,0.21
4/21/21,7/20/21,West Virginia,Joe Biden,Registered Voters,2807,0.02,0.34,0.62,-0.28
4/21/21,7/20/21,Wisconsin,Joe Biden,Registered Voters,8944,0.01,0.5,0.47,0.03
4/21/21,7/20/21,Wyoming,Joe Biden,Registered Voters,618,0.04,0.28,0.68,-0.41
7/21/21,10/20/21,Alabama,Joe Biden,Registered Voters,8597,0.01,0.37,0.59,-0.22
7/21/21,10/20/21,Alaska,Joe Biden,Registered Voters,582,0.04,0.38,0.52,-0.14
7/21/21,10/20/21,Arizona,Joe Biden,Registered Voters,11559,0.01,0.44,0.53,-0.09
7/21/21,10/20/21,Arkansas,Joe Biden,Registered Voters,4842,0.01,0.36,0.6,-0.25
7/21/21,10/20/21,California,Joe Biden,Registered Voters,34824,0.01,0.6,0.36,0.23
7/21/21,10/20/21,Colorado,Joe Biden,Registered Voters,6506,0.01,0.53,0.44,0.09
7/21/21,10/20/21,Connecticut,Joe Biden,Registered Voters,6238,0.01,0.54,0.42,0.12
7/21/21,10/20/21,Delaware,Joe Biden,Registered Voters,2433,0.02,0.54,0.43,0.12
7/21/21,10/20/21,Florida,Joe Biden,Registered Voters,45017,0.01,0.46,0.51,-0.05
7/21/21,10/20/21,Georgia,Joe Biden,Registered Voters,17213,0.01,0.47,0.5,-0.03
7/21/21,10/20/21,Hawaii,Joe Biden,Registered Voters,1689,0.02,0.51,0.44,0.07
7/21/21,10/20/21,Idaho,Joe Biden,Registered Voters,1852,0.02,0.36,0.6,-0.24
7/21/21,10/20/21,Illinois,Joe Biden,Registered Voters,18988,0.01,0.53,0.43,0.1
7/21/21,10/20/21,Indiana,Joe Biden,Registered Voters,10809,0.01,0.38,0.59,-0.21
7/21/21,10/20/21,Iowa,Joe Biden,Registered Voters,4339,0.01,0.43,0.54,-0.11
7/21/21,10/20/21,Kansas,Joe Biden,Registered Voters,4008,0.02,0.39,0.59,-0.2
7/21/21,10/20/21,Kentucky,Joe Biden,Registered Voters,9295,0.01,0.37,0.6,-0.23
7/21/21,10/20/21,Louisiana,Joe Biden,Registered Voters,5677,0.01,0.41,0.54,-0.13
7/21/21,10/20/21,Maine,Joe Biden,Registered Voters,2659,0.02,0.5,0.46,0.04
7/21/21,10/20/21,Maryland,Joe Biden,Registered Voters,8680,0.01,0.61,0.35,0.25
7/21/21,10/20/21,Massachusetts,Joe Biden,Registered Voters,10196,0.01,0.59,0.38,0.21
7/21/21,10/20/21,Michigan,Joe Biden,Registered Voters,17553,0.01,0.46,0.5,-0.04
7/21/21,10/20/21,Minnesota,Joe Biden,Registered Voters,7832,0.01,0.49,0.48,0.01
7/21/21,10/20/21,Mississippi,Joe Biden,Registered Voters,4002,0.02,0.41,0.54,-0.13
7/21/21,10/20/21,Missouri,Joe Biden,Registered Voters,10957,0.01,0.4,0.57,-0.17
7/21/21,10/20/21,Montana,Joe Biden,Registered Voters,1345,0.03,0.37,0.6,-0.23
7/21/21,10/20/21,Nebraska,Joe Biden,Registered Voters,3028,0.02,0.34,0.63,-0.3
7/21/21,10/20/21,Nevada,Joe Biden,Registered Voters,5285,0.01,0.46,0.49,-0.03
7/21/21,10/20/21,New Hampshire,Joe Biden,Registered Voters,2329,0.02,0.48,0.5,-0.02
7/21/21,10/20/21,New Jersey,Joe Biden,Registered Voters,14127,0.01,0.55,0.41,0.13
7/21/21,10/20/21,New Mexico,Joe Biden,Registered Voters,2147,0.02,0.51,0.45,0.06
7/21/21,10/20/21,New York,Joe Biden,Registered Voters,34231,0.01,0.56,0.4,0.16
7/21/21,10/20/21,North Carolina,Joe Biden,Registered Voters,18113,0.01,0.45,0.51,-0.05
7/21/21,10/20/21,North Dakota,Joe Biden,Registered Voters,914,0.03,0.27,0.68,-0.41
7/21/21,10/20/21,Ohio,Joe Biden,Registered Voters,22425,0.01,0.43,0.53,-0.1
7/21/21,10/20/21,Oklahoma,Joe Biden,Registered Voters,6135,0.01,0.32,0.63,-0.31
7/21/21,10/20/21,Oregon,Joe Biden,Registered Voters,5675,0.01,0.51,0.45,0.06
7/21/21,10/20/21,Pennsylvania,Joe Biden,Registered Voters,24525,0.01,0.46,0.51,-0.05
7/21/21,10/20/21,Rhode Island,Joe Biden,Registered Voters,2008,0.02,0.51,0.44,0.06
7/21/21,10/20/21,South Carolina,Joe Biden,Registered Voters,9783,0.01,0.44,0.52,-0.08
7/21/21,10/20/21,South Dakota,Joe Biden,Registered Voters,1332,0.03,0.37,0.62,-0.25
7/21/21,10/20/21,Tennessee,Joe Biden,Registered Voters,11779,0.01,0.37,0.59,-0.22
7/21/21,10/20/21,Texas,Joe Biden,Registered Voters,33152,0.01,0.45,0.52,-0.07
7/21/21,10/20/21,Utah,Joe Biden,Registered Voters,3068,0.02,0.36,0.61,-0.24
7/21/21,10/20/21,Vermont,Joe Biden,Registered Voters,985,0.03,0.58,0.4,0.18
7/21/21,10/20/21,Virginia,Joe Biden,Registered Voters,13478,0.01,0.5,0.47,0.03
7/21/21,10/20/21,Washington,Joe Biden,Registered Voters,8302,0.01,0.56,0.4,0.16
7/21/21,10/20/21,West Virginia,Joe Biden,Registered Voters,3849,0.02,0.29,0.68,-0.39
7/21/21,10/20/21,Wisconsin,Joe Biden,Registered Voters,9708,0.01,0.45,0.52,-0.07
7/21/21,10/20/21,Wyoming,Joe Biden,Registered Voters,718,0.04,0.24,0.74,-0.5
